creation_date,el_model,yp,indices,label,matching,result_date
[46][M][readings/Wed-22-11-2023/2023-11-21T15-40-45],Magic,"[[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[1, 15, 25, 28, 33]","[9, 14, 26, 49, 55, 56, 28]",[28],Wed-22-11-2023
[47][M][readings/Wed-22-11-2023/2023-11-21T16-05-10],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[10, 39, 40, 42, 45]","[9, 14, 26, 49, 55, 56, 28]",[],Wed-22-11-2023
[48][M][readings/Sat-25-11-2023/2023-11-24T15-25-16],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[19, 28, 33, 47, 58]","[5, 9, 31, 34, 46, 48, 49]",[],Sat-25-11-2023
[49][M][readings/Sat-25-11-2023/2023-11-24T15-37-28],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[29, 31, 38, 47, 58]","[5, 9, 31, 34, 46, 48, 49]",[31],Sat-25-11-2023
[50][M][readings/Wed-29-11-2023/2023-11-28T00-55-50],Magic,"[[0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[4, 9, 25, 38, 58]","[19, 31, 35, 38, 42, 49, 13]",[38],Wed-29-11-2023
[51][M][readings/Wed-29-11-2023/2023-11-28T20-47-28],Magic,"[[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[3, 29, 30, 35, 58]","[19, 31, 35, 38, 42, 49, 13]",[35],Wed-29-11-2023
[52][M][readings/Sat-02-12-2023/2023-11-30T21-55-41],Magic,"[[0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[3, 6, 7, 38, 58]","[2, 4, 11, 23, 26, 33, 40]",[],Sat-02-12-2023
[53][M][readings/Sat-02-12-2023/2023-11-30T22-09-43],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0]]","[6, 38, 40, 56, 58]","[2, 4, 11, 23, 26, 33, 40]",[40],Sat-02-12-2023
[54][M][readings/Wed-06-12-2023/2023-12-05T18-55-32],Magic,"[[0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[1, 11, 12, 25, 29]","[2, 3, 6, 22, 43, 55, 47]",[],Wed-06-12-2023
[55][M][readings/Wed-06-12-2023/2023-12-05T19-09-18],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
  0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[33, 39, 40, 46, 58]","[2, 3, 6, 22, 43, 55, 47]",[],Wed-06-12-2023
[56][M][readings/Sat-09-12-2023/2023-12-08T15-09-32],Magic,"[[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[8, 15, 19, 30, 33]","[15, 27, 33, 44, 46, 59, 30]","[15, 30, 33]",Sat-09-12-2023
